Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
Portugal,João Cancelo,João Pedro Cavaco Cancelo,28,182,74,88.0,1,4,4,85,73,85,85,81,73
Brazil,Marquinhos,Marcos Aoás Corrêa,28,183,75,88.0,1,3,3,79,56,75,74,89,80
Costa Rica,K. Navas,Keylor Navas,35,185,80,88.0,1,3,1,89,84,75,89,54,87
Germany,M. ter Stegen,Marc-André ter Stegen,30,187,85,88.0,1,4,1,86,85,87,90,47,85
Germany,T. Kroos,Toni Kroos,32,183,76,88.0,1,5,3,53,81,90,81,71,68
Croatia,L. Modrić,Luka Modrić,36,172,66,88.0,1,4,4,73,76,89,88,72,66
Germany,A. Rüdiger,Antonio Rüdiger,29,190,85,87.0,1,3,2,82,53,71,67,86,85
Spain,Rodri,Rodrigo Hernández Cascante,26,191,82,87.0,1,4,3,58,72,78,79,83,84
Brazil,Fabinho,Fábio Henrique Tavares,28,188,78,87.0,1,2,3,66,69,78,77,86,83
France,H. Lloris,Hugo Lloris,35,188,82,87.0,0,1,1,88,83,74,88,61,84
Germany,T. Müller,Thomas Müller,32,185,76,87.0,1,4,3,69,84,83,80,56,71
Spain,De Gea,David De Gea Quintana,31,192,76,87.0,1,3,1,88,80,76,89,51,84
Italy,M. Verratti,Marco Verratti,29,165,60,87.0,1,4,4,60,61,87,91,79,66
France,M. Maignan,Mike Maignan,26,191,89,87.0,1,4,1,85,82,85,89,51,85
England,T. Alexander-Arnold,Trent Alexander-Arnold,23,180,69,87.0,1,4,3,76,69,89,80,80,73
Scotland,A. Robertson,Andrew Robertson,28,178,64,87.0,0,2,3,80,61,81,81,82,76
Senegal,K. Koulibaly,Kalidou Koulibaly,31,187,89,87.0,1,4,2,82,33,59,68,88,85
Germany,L. Goretzka,Leon Goretzka,27,189,82,87.0,1,4,3,78,82,82,83,81,86
Netherlands,F. de Jong,Frenkie de Jong,25,180,74,87.0,1,3,4,82,69,86,87,77,78
Spain,Thiago,Thiago Alcântara,31,174,70,86.0,1,3,5,61,72,87,90,72,69
Italy,C. Immobile,Ciro Immobile,32,185,85,86.0,1,4,3,85,87,68,80,39,75
Belgium,R. Lukaku,Romelu Lukaku,29,191,94,86.0,0,4,3,80,85,75,77,38,82
Austria,D. Alaba,David Alaba,30,180,78,86.0,0,4,3,79,71,83,80,85,77
England,R. Sterling,Raheem Sterling,27,170,69,86.0,1,3,4,90,80,78,86,45,67
Algeria,R. Mahrez,Riyad Mahrez,31,179,67,86.0,0,4,5,80,83,81,90,38,60
Argentina,P. Dybala,Paulo Dybala,28,177,75,86.0,0,3,4,80,85,85,90,40,59
Brazil,Thiago Silva,Thiago Emiliano da Silva,37,183,79,86.0,1,3,2,49,54,73,72,87,76
Poland,W. Szczęsny,Wojciech Szczęsny,32,195,90,86.0,1,3,1,86,81,73,87,49,86
Germany,K. Trapp,Kevin Trapp,31,189,84,86.0,1,4,1,84,82,79,87,46,85
Portugal,Bruno Fernandes,Bruno Miguel Borges Fernandes,27,179,69,86.0,1,3,4,72,86,88,81,67,76
Spain,Parejo,Daniel Parejo Muñoz,33,182,74,86.0,1,4,3,50,83,90,80,71,68
Spain,A. Laporte,Aymeric Laporte,28,191,85,86.0,0,3,2,61,50,72,69,86,79
France,K. Coman,Kingsley Coman,26,179,75,86.0,1,3,5,92,77,79,87,30,61
Croatia,M. Brozović,Marcelo Brozović,29,181,68,86.0,1,4,3,69,74,81,81,81,78
Italy,N. Barella,Nicolò Barella,25,172,68,86.0,1,3,3,79,76,83,84,77,81
Argentina,L. Martínez,Lautaro Martínez,24,174,72,86.0,1,4,4,83,83,72,85,48,84
Slovakia,M. Škriniar,Milan Škriniar,27,188,80,86.0,1,3,2,78,41,57,69,88,86
France,C. Nkunku,Christopher Nkunku,24,175,73,86.0,1,3,5,88,81,83,88,65,66
Senegal,É. Mendy,Édouard Mendy,30,197,86,86.0,1,2,1,84,82,81,88,34,85
Brazil,Vinícius Jr.,Vinícius José de Oliveira Júnior,21,176,73,86.0,1,4,5,95,79,74,90,29,67
Serbia,S. Milinković-Savić,Sergej Milinković-Savić,27,191,76,86.0,1,5,4,68,80,82,82,79,86
Germany,N. Süle,Niklas Süle,26,195,99,85.0,1,3,3,71,48,66,59,85,83
France,N. Fekir,Nabil Fekir,28,173,75,85.0,0,4,4,83,82,82,87,38,80
Germany,S. Gnabry,Serge Gnabry,26,176,77,85.0,1,4,4,82,84,79,85,43,69
Germany,İ. Gündoğan,İlkay Gündoğan,31,180,80,85.0,1,4,4,64,80,85,85,72,72
England,K. Walker,Kyle Walker,32,183,83,85.0,1,2,3,91,63,77,78,80,82
Gabon,P. Aubameyang,Pierre-Emerick Aubameyang,33,187,80,85.0,1,4,4,87,84,74,79,36,68
Spain,Jordi Alba,Jordi Alba Ramos,33,170,68,85.0,0,3,3,84,70,82,82,77,70
Spain,Sergio Busquets,Sergio Busquets Burgos,33,189,76,85.0,1,3,3,42,62,79,79,82,73
Spain,Iago Aspas,Iago Aspas Juncal,34,176,67,85.0,0,4,3,82,85,79,86,35,63
France,P. Pogba,Paul Pogba,29,191,84,85.0,1,4,5,67,80,85,85,62,80
Netherlands,M. Depay,Memphis Depay,28,176,78,85.0,1,3,5,83,84,82,86,30,79
Italy,Jorginho,Luiz Frello Filho Jorge,30,180,68,85.0,1,3,3,54,67,86,81,73,73
Argentina,M. Acuña,Marcos Acuña,30,172,69,85.0,0,3,3,76,74,83,87,80,83
Spain,Gerard Moreno,Gerard Moreno Balagueró,30,180,77,85.0,0,4,3,78,86,77,83,46,72
Belgium,Y. Carrasco,Yannick Carrasco,28,181,73,85.0,1,4,4,89,82,80,87,53,67
Serbia,F. Kostić,Filip Kostić,29,184,84,85.0,0,2,3,84,78,82,82,68,80
England,J. Vardy,Jamie Vardy,35,179,74,85.0,1,4,3,84,84,70,79,52,72
Spain,Pedri,Pedro González López,19,174,61,85.0,1,4,4,79,67,81,87,68,73
England,P. Foden,Phil Foden,22,171,69,85.0,0,3,4,82,78,81,88,56,60
Netherlands,M. de Ligt,Matthijs de Ligt,22,189,89,85.0,1,3,2,75,59,61,69,84,87
Czech Republic,P. Schick,Patrik Schick,26,191,86,85.0,0,3,4,78,83,71,83,36,76
France,T. Hernández,Theo Hernández,24,184,81,85.0,0,3,3,93,72,76,81,78,83
Portugal,Diogo Jota,Diogo José Teixeira da Silva,25,178,73,85.0,1,5,4,85,83,75,85,57,77
Hungary,P. Gulácsi,Péter Gulácsi,32,191,86,85.0,1,2,1,85,84,76,85,43,83
Switzerland,Y. Sommer,Yann Sommer,33,183,79,85.0,1,4,1,78,81,82,90,50,86
Germany,M. Reus,Marco Reus,33,180,71,85.0,1,4,4,70,84,84,85,53,65
France,L. Hernández,Lucas Hernández,26,184,79,84.0,0,2,2,77,54,70,71,84,80
Spain,Sergio Ramos,Sergio Ramos García,36,184,82,84.0,1,3,3,61,69,73,70,83,77
Argentina,A. Gómez,Alejandro Gómez,34,167,68,84.0,1,4,4,86,78,83,85,39,54
Slovenia,S. Handanovič,Samir Handanovič,37,193,92,84.0,1,3,1,80,80,65,85,43,90
Belgium,D. Mertens,Dries Mertens,35,169,61,84.0,1,4,4,78,82,80,87,34,49
Uruguay,L. Suárez,Luis Suárez,35,182,86,84.0,1,4,3,70,86,78,78,46,81
Serbia,D. Tadić,Dušan Tadić,33,181,76,84.0,0,3,4,68,81,86,84,43,77
Italy,D. Berardi,Domenico Berardi,27,183,72,84.0,0,3,4,82,81,81,86,36,71
Ghana,T. Partey,Thomas Partey,29,185,77,84.0,1,3,3,65,71,81,80,80,83
Morocco,Y. Bounou,Yassine Bounou,31,192,78,84.0,0,2,1,84,81,76,86,36,84
Turkey,H. Çalhanoğlu,Hakan Çalhanoğlu,28,178,76,84.0,1,4,4,67,80,85,86,68,64
Croatia,M. Kovačić,Mateo Kovačić,28,176,80,84.0,1,4,4,70,69,83,88,71,71
England,J. Grealish,Jack Grealish,26,180,81,84.0,1,3,4,76,76,83,87,46,69
Spain,Carvajal,Daniel Carvajal Ramos,30,173,73,84.0,1,3,3,82,54,77,80,78,79
Montenegro,S. Savić,Stefan Savić,31,187,80,84.0,1,3,2,64,35,58,58,87,80
Argentina,E. Martínez,Emiliano Martínez,29,195,88,84.0,1,4,1,85,83,82,85,58,83
France,R. Varane,Raphaël Varane,29,191,81,84.0,1,4,2,81,49,64,66,85,80
France,W. Ben Yedder,Wissam Ben Yedder,31,170,68,84.0,1,5,4,81,84,78,88,39,68
Italy,L. Insigne,Lorenzo Insigne,31,163,59,84.0,1,4,4,84,78,84,89,36,45
Germany,M. Hummels,Mats Hummels,33,191,94,84.0,1,3,3,53,59,76,72,87,78
Netherlands,S. de Vrij,Stefan de Vrij,30,189,78,84.0,1,3,2,68,41,65,69,87,79
Cameroon,J. Matip,Joel Matip,30,194,90,84.0,1,2,2,61,46,69,71,87,78
Belgium,K. Casteels,Koen Casteels,30,197,86,84.0,0,2,1,84,82,79,86,45,84
Spain,Canales,Sergio Canales Madrazo,31,176,65,84.0,0,3,4,83,79,85,82,68,71
Spain,Muniain,Iker Muniain Goñi,29,170,66,84.0,1,3,4,81,77,82,87,51,61
England,K. Trippier,Kieran Trippier,31,173,71,84.0,1,4,3,70,64,82,77,80,72
Italy,L. Bonucci,Leonardo Bonucci,35,190,85,84.0,1,4,2,54,59,69,71,85,78
Argentina,Á. Di María,Ángel Di María,34,180,69,84.0,0,2,5,79,79,84,87,48,67
Belgium,E. Hazard,Eden Hazard,31,175,74,84.0,1,4,4,83,80,82,87,35,63
Croatia,I. Perišić,Ivan Perišić,33,186,80,84.0,1,5,4,78,81,79,82,74,78
Bosnia and Herzegovina,E. Džeko,Edin Džeko,36,193,80,84.0,1,5,3,63,84,71,77,45,75
Italy,G. Chiellini,Giorgio Chiellini,37,187,85,84.0,0,3,2,65,46,60,58,85,83
Argentina,R. De Paul,Rodrigo Javier De Paul,28,180,70,84.0,1,3,4,78,77,83,82,75,81
England,J. Bellingham,Jude Bellingham,19,186,75,84.0,1,4,4,75,75,78,84,77,80
Italy,F. Chiesa,Federico Chiesa,24,175,70,84.0,1,4,4,91,81,76,86,48,73
France,M. Diaby,Moussa Diaby,22,171,67,84.0,0,3,4,93,73,75,87,42,59
England,J. Tartt,Jamie Tartt,24,178,84,84.0,1,4,5,83,87,80,85,29,74
Portugal,Rafael Leão,Rafael da Conceição Leão,23,188,81,84.0,1,4,4,91,77,73,86,27,74
France,J. Koundé,Jules Koundé,23,181,75,84.0,1,3,2,84,45,64,74,85,78
Belgium,Y. Tielemans,Youri Tielemans,25,176,72,84.0,1,5,4,56,80,86,81,70,73
Italy,S. Tonali,Sandro Tonali,22,181,79,84.0,1,4,3,81,73,81,79,79,82
Colombia,L. Díaz,Luis Díaz,25,180,73,84.0,1,4,4,91,80,75,87,34,73
Brazil,Éder Militão,Éder Gabriel Militão,24,186,78,84.0,1,3,2,86,50,70,72,85,82
Uruguay,F. Valverde,Federico Valverde,23,182,78,84.0,1,4,3,87,74,80,79,78,80
Germany,L. Sané,Leroy Sané,26,183,80,84.0,0,2,4,88,81,80,85,38,66
England,R. James,Reece James,22,178,87,84.0,1,3,3,81,70,82,82,80,82
Italy,A. Bastoni,Alessandro Bastoni,23,190,75,84.0,0,3,2,73,35,69,71,86,82
Germany,K. Havertz,Kai Havertz,23,189,82,84.0,0,4,4,81,79,79,84,45,66
Portugal,João Félix,João Félix Sequeira,22,181,72,84.0,1,4,5,83,80,81,88,40,67
Morocco,A. Hakimi,Achraf Hakimi,23,181,73,84.0,1,4,4,92,75,79,80,75,78
Canada,A. Davies,Alphonso Davies,21,185,77,84.0,0,4,4,94,66,77,85,76,77
England,D. Rice,Declan Rice,23,185,80,84.0,1,3,2,71,64,74,76,82,83
England,M. Mount,Mason Mount,23,180,74,84.0,1,4,3,74,81,85,82,55,67
England,J. Sancho,Jadon Sancho,22,180,76,84.0,1,3,5,81,74,81,89,36,59
England,F. Tomori,Fikayo Tomori,24,185,79,84.0,1,4,2,86,40,60,66,86,81
Côte d'Ivoire,F. Kessié,Franck Yannick Kessié,25,183,88,84.0,1,4,3,78,76,74,79,82,87
Spain,Oyarzabal,Mikel Oyarzabal Ugarte,25,181,79,84.0,0,3,3,79,83,80,83,41,62
Italy,L. Pellegrini,Lorenzo Pellegrini,26,186,77,84.0,1,4,3,79,77,83,84,74,78
Nigeria,W. Ndidi,Wilfred Ndidi,25,183,74,84.0,1,4,3,66,62,68,73,85,83
Spain,Marcos Llorente,Marcos Llorente Moreno,27,184,74,84.0,1,4,3,88,79,81,82,78,81
Norway,M. Ødegaard,Martin Ødegaard,23,178,68,84.0,0,2,5,76,75,86,84,58,63
Serbia,D. Vlahović,Dušan Vlahović,22,190,75,84.0,0,3,3,80,85,66,78,28,79
Brazil,Diego Carlos,Diego Carlos Santos Silva,29,186,79,83.0,1,4,3,76,47,63,67,82,82
Spain,Angeliño,José Ángel Esmoris Tasende,25,171,69,83.0,0,3,4,78,71,82,84,76,70
France,O. Dembélé,Ousmane Dembélé,25,178,67,83.0,0,5,5,93,77,79,87,36,56
Spain,Marco Asensio,Marco Asensio Willemsen,26,182,76,83.0,0,3,4,82,80,81,83,43,62
Portugal,Rúben Neves,Rúben Diogo da Silva Neves,25,180,80,83.0,1,4,3,58,74,86,77,76,73
Spain,Merino,Mikel Merino Zazón,26,189,83,83.0,0,3,3,73,78,81,82,82,81
Austria,K. Laimer,Konrad Laimer,25,180,72,83.0,1,3,3,84,68,78,79,81,78
France,P. Kimpembe,Presnel Kimpembe,26,189,80,83.0,0,3,2,80,43,68,69,83,86
Spain,Fabián,Fabián Ruiz Peña,26,189,70,83.0,0,3,4,61,79,80,83,74,72
France,F. Mendy,Ferland Mendy,27,180,73,83.0,0,5,4,92,64,77,78,78,84
Brazil,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,30,177,75,83.0,1,4,4,88,77,83,84,35,72
Brazil,Gabriel Jesus,Gabriel Fernando de Jesus,25,175,73,83.0,1,3,4,84,82,74,86,40,74
Spain,Unai Simón,Unai Simón Mendibil,25,190,89,83.0,1,3,1,82,79,77,85,49,85
Nigeria,V. Osimhen,Victor Osimhen,23,185,78,83.0,1,4,3,90,82,65,78,40,81
Denmark,P. Højbjerg,Pierre-Emile Højbjerg,26,187,84,83.0,1,4,3,55,73,77,77,80,82
Argentina,C. Romero,Cristian Romero,24,185,79,83.0,1,2,3,73,46,57,65,85,82
Brazil,Raphinha,Raphael Dias Belloli,25,176,68,83.0,0,4,4,91,79,77,85,50,73
Spain,Carlos Soler,Carlos Soler Barragán,25,180,76,83.0,1,4,3,80,77,83,80,71,72
Switzerland,G. Kobel,Gregor Kobel,24,195,88,83.0,1,3,1,84,80,74,88,43,79
Spain,Pau Torres,Pau Francisco Torres,25,191,80,83.0,0,3,2,73,38,67,70,84,81
Netherlands,C. Gakpo,Cody Gakpo,23,189,76,83.0,1,4,4,87,82,77,84,41,74
Uruguay,R. Araujo,Ronald Araujo,23,192,91,83.0,1,3,2,77,51,65,61,83,83
England,R. Kent,Roy Kent,40,182,82,83.0,0,3,3,58,71,78,75,79,83
Colombia,D. Zapata,Duván Zapata,31,189,88,83.0,1,4,3,78,82,63,79,35,85
Argentina,Á. Correa,Ángel Correa,27,171,70,83.0,1,4,4,85,84,77,87,50,74
Uruguay,J. Giménez,José María Giménez,27,185,79,83.0,1,3,2,71,46,57,60,85,83
France,T. Lemar,Thomas Lemar,26,171,66,83.0,0,3,4,82,78,83,87,68,64
Brazil,Bremer,Gleison Bremer Silva Nascimento,25,188,82,83.0,1,2,2,78,50,56,65,84,79
Colombia,J. Cuadrado,Juan Cuadrado,34,179,72,83.0,1,3,5,90,75,78,87,76,72
Poland,P. Zieliński,Piotr Zieliński,28,180,75,83.0,1,5,4,81,77,81,86,70,62
Spain,Jesús Navas,Jesús Navas González,36,172,60,83.0,1,2,4,85,68,82,81,79,57
Spain,Piqué,Gerard Piqué Bernabeu,35,194,85,83.0,1,3,2,56,61,71,68,83,76
Denmark,K. Schmeichel,Kasper Schmeichel,35,189,89,83.0,1,3,1,81,78,79,86,45,81
England,J. Henderson,Jordan Henderson,32,182,80,83.0,1,3,3,66,74,83,78,78,81
Brazil,Fernando,Fernando Reges Mouta,34,183,76,83.0,1,3,3,65,62,76,73,83,81
Finland,L. Hrádecký,Lukáš Hrádecký,32,192,85,83.0,1,3,1,84,77,69,87,40,82
Spain,David Silva,David Josué Jiménez Silva,36,173,67,83.0,0,2,4,61,72,86,85,52,53
Germany,O. Baumann,Oliver Baumann,32,187,82,83.0,1,1,1,83,82,79,84,49,79
France,A. Griezmann,Antoine Griezmann,31,176,73,83.0,0,3,4,80,82,83,85,52,72
Spain,Luis Alberto,Luis Alberto Romero Alconchel,29,183,74,83.0,1,3,4,54,75,86,83,57,57
Brazil,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,30,181,76,83.0,1,4,5,74,76,79,87,59,78
England,J. Stones,John Stones,28,188,76,83.0,1,4,3,72,51,71,75,84,77
Morocco,H. Ziyech,Hakim Ziyech,29,181,65,83.0,0,2,5,76,77,87,83,50,65
Spain,Koke,Jorge Resurrección,30,176,75,83.0,1,4,3,70,72,84,79,78,79
Portugal,Ricardo Pereira,Ricardo Barbosa Pereira,28,175,70,83.0,1,4,3,79,67,79,81,80,73
England,J. Maddison,James Maddison,25,175,73,82.0,1,4,4,73,78,84,85,54,62
Argentina,G. Rulli,Gerónimo Rulli,30,189,84,82.0,1,3,1,82,79,80,83,54,81
Croatia,A. Kramarić,Andrej Kramarić,31,177,73,82.0,1,4,4,71,80,79,85,30,72
Portugal,Rafa,Rafael A. Ferreira Silva,29,172,66,82.0,1,3,4,91,73,75,86,50,52
Italy,G. Di Lorenzo,Giovanni Di Lorenzo,28,183,83,82.0,1,3,3,85,66,73,77,78,80
Spain,David Soria,David Soria Solís,29,192,85,82.0,1,3,1,82,81,73,83,43,81
Italy,M. Locatelli,Manuel Locatelli,24,185,75,82.0,1,4,3,63,72,79,78,79,79
Germany,R. Gosens,Robin Gosens,27,183,76,82.0,0,3,3,82,75,74,79,77,80
Portugal,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,25,179,68,82.0,1,4,4,86,83,74,83,38,70
Germany,J. Tah,Jonathan Tah,26,195,94,82.0,1,4,2,67,37,59,61,83,85
Denmark,A. Christensen,Andreas Christensen,26,188,81,82.0,1,3,2,68,32,66,70,84,74
Germany,E. Can,Emre Can,28,186,86,82.0,1,4,3,79,78,77,80,82,87
Brazil,Anderson Talisca,Anderson Souza Conceição,28,190,80,82.0,0,4,4,80,82,78,83,52,75
Germany,J. Brandt,Julian Brandt,26,185,83,82.0,1,4,4,67,78,82,85,48,65
Germany,T. Werner,Timo Werner,26,180,76,82.0,1,4,3,90,80,69,82,35,69
Spain,Gayà,José Luís Gayà Peña,27,172,66,82.0,0,3,4,83,61,76,80,78,73
Portugal,Otávio,Otávio Edmilson da Silva Monteiro,27,171,67,82.0,1,3,4,78,69,80,85,63,71
Spain,Grimaldo,Alejandro Grimaldo García,26,172,67,82.0,0,2,3,87,65,81,83,74,71
Portugal,R. Guerreiro,Raphaël Guerreiro,28,170,71,82.0,0,2,4,74,77,86,87,75,55
Cameroon,A. Onana,André Onana,26,190,93,82.0,1,3,1,81,80,86,83,61,80
Germany,M. Ginter,Matthias Ginter,28,191,86,82.0,1,3,2,60,59,71,66,84,79
Côte d'Ivoire,S. Haller,Sébastien Haller,28,190,82,82.0,1,3,3,65,80,62,74,52,82
Spain,Aritz Elustondo,Aritz Elustondo,28,180,71,82.0,1,3,2,64,39,65,62,82,78
England,T. Abraham,Tammy Abraham,24,195,86,82.0,1,3,3,83,81,66,78,36,80
Algeria,I. Bennacer,Ismaël Bennacer,24,175,70,82.0,0,3,4,77,68,80,86,77,76
Spain,Álex Remiro,Alejandro Remiro Gargallo,27,192,79,82.0,1,4,1,83,76,79,84,42,85
Mexico,D. Rojas,Dani Rojas,26,183,75,82.0,1,3,4,83,83,75,82,28,75
Germany,F. Wirtz,Florian Wirtz,19,176,72,82.0,1,4,4,78,73,80,86,51,60
Brazil,Antony,Antony Matheus dos Santos,22,174,63,82.0,0,3,5,93,74,75,86,39,69
Uruguay,D. Núñez,Darwin Núñez,23,186,80,82.0,1,3,3,89,82,68,77,42,86
Germany,N. Schlotterbeck,Nico Schlotterbeck,22,191,86,82.0,0,3,3,76,56,66,72,84,78
England,B. Saka,Bukayo Saka,20,178,65,82.0,0,3,3,84,74,78,83,65,65
Spain,Dani Olmo,Daniel Olmo Carvajal,24,179,72,82.0,1,4,4,67,76,81,86,50,59
France,A. Tchouaméni,Aurélien Tchouaméni,22,187,81,82.0,1,3,3,70,70,79,78,81,82
Spain,Ferran Torres,Ferran Torres García,22,184,77,82.0,1,4,4,84,79,79,83,35,67
Morocco,N. Mazraoui,Noussair Mazraoui,24,183,65,82.0,1,3,3,84,66,77,82,76,74
Netherlands,A. Danjuma,Arnaut Danjuma,25,178,74,82.0,1,4,4,88,81,75,82,42,68
England,A. Ramsdale,Aaron Ramsdale,24,191,77,82.0,1,3,1,83,77,85,84,48,78
Brazil,Lucas Paquetá,Lucas Tolentino Coelho de Lima,24,180,72,82.0,0,4,5,72,78,79,85,69,78
Netherlands,D. Dumfries,Denzel Dumfries,26,188,80,82.0,1,3,2,83,63,70,73,78,89
Ukraine,R. Malinovskyi,Ruslan Malinovskyi,29,181,79,82.0,0,4,4,76,81,83,81,64,80
Mexico,R. Jiménez,Raúl Jiménez,31,188,81,82.0,1,4,3,73,81,76,80,47,82
Brazil,Josué Chiamulera,Josué Durval Chiamulera Vaz,30,185,80,82.0,1,3,2,78,43,56,64,85,79
Brazil,Lucas Mantela,Lucas Luciano Mantela Patrício,22,183,77,82.0,1,3,1,79,87,85,81,35,77
England,B. Chilwell,Ben Chilwell,25,180,77,82.0,0,3,3,76,60,78,78,78,75
Portugal,André Silva,André Miguel Valente da Silva,26,185,84,82.0,1,3,4,74,83,70,82,47,78
United States,C. Pulisic,Christian Pulisic,23,177,69,82.0,1,4,4,87,71,73,86,37,59
England,J. Pickford,Jordan Pickford,28,185,77,82.0,0,4,1,84,77,87,87,51,80
Spain,Sergi Darder,Sergi Darder Moll,28,180,71,82.0,1,3,3,82,74,82,83,74,77
Hungary,W. Orban,Willi Orban,29,186,87,82.0,1,3,2,57,36,53,56,84,81
Senegal,I. Gueye,Idrissa Gueye,32,174,66,82.0,1,3,3,67,66,72,78,83,76
Sweden,Z. Ibrahimović,Zlatan Ibrahimović,40,195,102,82.0,1,4,5,58,85,76,77,34,72
Spain,Iñigo Martínez,Iñigo Martínez Berridi,31,182,77,82.0,0,3,2,71,56,67,61,82,80
Poland,Ł. Fabiański,Łukasz Fabiański,37,190,83,82.0,1,2,1,82,82,71,82,49,83
Croatia,I. Rakitić,Ivan Rakitić,34,184,78,82.0,1,4,3,53,80,86,78,75,68
France,D. Payet,Dimitri Payet,35,175,77,82.0,1,4,4,70,78,84,83,40,65
Portugal,Rui Patrício,Rui Pedro dos Santos Patrício,34,190,84,82.0,0,2,1,82,80,77,83,55,80
France,O. Giroud,Olivier Giroud,35,192,93,82.0,0,3,3,42,83,72,73,42,78
Denmark,S. Kjær,Simon Kjær,33,190,86,82.0,1,3,2,62,54,64,60,84,78
Spain,Yuri Berchiche,Yuri Berchiche Izeta,32,181,80,82.0,0,3,3,81,68,76,76,79,82
Belgium,T. Alderweireld,Toby Alderweireld,33,186,81,82.0,1,3,2,57,55,70,67,85,75
Austria,M. Arnautović,Marko Arnautović,33,192,83,82.0,1,4,4,78,82,79,79,44,82
Spain,Azpilicueta,César Azpilicueta Tanco,32,178,77,82.0,1,3,2,64,55,76,72,84,76
Brazil,Coutinho,Philippe Coutinho Correia,30,172,68,82.0,1,4,5,62,79,80,88,52,59
Denmark,C. Eriksen,Christian Eriksen,30,181,76,82.0,1,5,4,61,78,88,80,53,52
Spain,Raúl Albiol,Raúl Albiol Tortajada,36,190,82,82.0,1,3,2,38,41,62,63,85,71
Uruguay,S. Coates,Sebastián Coates,31,196,94,82.0,1,3,2,68,49,55,62,84,87
France,L. Digne,Lucas Digne,28,178,74,82.0,0,2,3,78,69,80,79,77,76
Spain,Isco,Francisco Román Alarcón Suárez,30,176,79,82.0,1,3,4,65,75,80,88,59,58
Central African Republic,G. Kondogbia,Geoffrey Kondogbia,29,188,76,82.0,0,3,3,68,75,77,76,81,88
Brazil,Gabriel Paulista,Gabriel Armando de Abreu,31,185,72,82.0,1,2,2,67,49,71,65,84,83
Spain,Nacho Fernández,José Ignacio Fernández Iglesias,32,180,76,82.0,1,4,2,75,37,69,70,82,80
Germany,K. Volland,Kevin Volland,29,179,85,82.0,0,4,3,70,85,79,80,46,84
Italy,L. Spinazzola,Leonardo Spinazzola,29,186,75,82.0,1,4,4,91,64,73,80,78,69
Netherlands,S. Berghuis,Steven Berghuis,30,182,75,82.0,0,3,4,80,82,83,82,40,69
