FullName,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,BestPosition,Position
Marco Reus,70,84,84,85,53,65,CAM,0
Lucas Hernández,77,54,70,71,84,80,CB,1
Sergio Ramos García,61,69,73,70,83,77,CB,1
Alejandro Gómez,86,78,83,85,39,54,CAM,0
Samir Handanovič,80,80,65,85,43,90,GK,3
Luis Suárez,70,86,78,78,46,81,ST,6
Dušan Tadić,68,81,86,84,43,77,LW,4
Yassine Bounou,84,81,76,86,36,84,GK,3
Hakan Çalhanoğlu,67,80,85,86,68,64,CM,2
Mateo Kovačić,70,69,83,88,71,71,CM,2
Jack Grealish,76,76,83,87,46,69,LW,4
Stefan Savić,64,35,58,58,87,80,CB,1
Emiliano Martínez,85,83,82,85,58,83,GK,3
Raphaël Varane,81,49,64,66,85,80,CB,1
Lorenzo Insigne,84,78,84,89,36,45,CAM,0
Mats Hummels,53,59,76,72,87,78,CB,1
Stefan de Vrij,68,41,65,69,87,79,CB,1
Joel Matip,61,46,69,71,87,78,CB,1
Koen Casteels,84,82,79,86,45,84,GK,3
Leonardo Bonucci,54,59,69,71,85,78,CB,1
Ángel Di María,79,79,84,87,48,67,RW,5
Eden Hazard,83,80,82,87,35,63,LW,4
Edin Džeko,63,84,71,77,45,75,ST,6
Giorgio Chiellini,65,46,60,58,85,83,CB,1
Rodrigo Javier De Paul,78,77,83,82,75,81,CM,2
Jude Bellingham,75,75,78,84,77,80,CM,2
Jamie Tartt,83,87,80,85,29,74,CAM,0
Rafael da Conceição Leão,91,77,73,86,27,74,LW,4
Jules Koundé,84,45,64,74,85,78,CB,1
Youri Tielemans,56,80,86,81,70,73,CM,2
Éder Gabriel Militão,86,50,70,72,85,82,CB,1
Federico Valverde,87,74,80,79,78,80,CM,2
Alessandro Bastoni,73,35,69,71,86,82,CB,1
Kai Havertz,81,79,79,84,45,66,CAM,0
João Félix Sequeira,83,80,81,88,40,67,CAM,0
Mason Mount,74,81,85,82,55,67,CAM,0
Jadon Sancho,81,74,81,89,36,59,CAM,0
Fikayo Tomori,86,40,60,66,86,81,CB,1
Mikel Oyarzabal Ugarte,79,83,80,83,41,62,LW,4
Lorenzo Pellegrini,79,77,83,84,74,78,CAM,0
Wilfred Ndidi,66,62,68,73,85,83,CB,1
Marcos Llorente Moreno,88,79,81,82,78,81,CAM,0
Martin Ødegaard,76,75,86,84,58,63,CAM,0
Dušan Vlahović,80,85,66,78,28,79,ST,6
Diego Carlos Santos Silva,76,47,63,67,82,82,CB,1
Marco Asensio Willemsen,82,80,81,83,43,62,RW,5
Rúben Diogo da Silva Neves,58,74,86,77,76,73,CM,2
Mikel Merino Zazón,73,78,81,82,82,81,CM,2
Presnel Kimpembe,80,43,68,69,83,86,CB,1
Fabián Ruiz Peña,61,79,80,83,74,72,CM,2
Gabriel Fernando de Jesus,84,82,74,86,40,74,ST,6
Unai Simón Mendibil,82,79,77,85,49,85,GK,3
Victor Osimhen,90,82,65,78,40,81,ST,6
Cristian Romero,73,46,57,65,85,82,CB,1
Carlos Soler Barragán,80,77,83,80,71,72,CM,2
Gregor Kobel,84,80,74,88,43,79,GK,3
Pau Francisco Torres,73,38,67,70,84,81,CB,1
Ronald Araujo,77,51,65,61,83,83,CB,1
Duván Zapata,78,82,63,79,35,85,ST,6
José María Giménez,71,46,57,60,85,83,CB,1
Thomas Lemar,82,78,83,87,68,64,CAM,0
Gleison Bremer Silva Nascimento,78,50,56,65,84,79,CB,1
Piotr Zieliński,81,77,81,86,70,62,CAM,0
Gerard Piqué Bernabeu,56,61,71,68,83,76,CB,1
Kasper Schmeichel,81,78,79,86,45,81,GK,3
Jordan Henderson,66,74,83,78,78,81,CM,2
Lukáš Hrádecký,84,77,69,87,40,82,GK,3
David Josué Jiménez Silva,61,72,86,85,52,53,CAM,0
Oliver Baumann,83,82,79,84,49,79,GK,3
Antoine Griezmann,80,82,83,85,52,72,CAM,0
Luis Alberto Romero Alconchel,54,75,86,83,57,57,CM,2
John Stones,72,51,71,75,84,77,CB,1
Hakim Ziyech,76,77,87,83,50,65,RW,5
Jorge Resurrección,70,72,84,79,78,79,CM,2
James Maddison,73,78,84,85,54,62,CAM,0
Gerónimo Rulli,82,79,80,83,54,81,GK,3
Rafael A. Ferreira Silva,91,73,75,86,50,52,RW,5
David Soria Solís,82,81,73,83,43,81,GK,3
Manuel Locatelli,63,72,79,78,79,79,CM,2
Gonçalo Manuel Ganchinho Guedes,86,83,74,83,38,70,ST,6
Jonathan Tah,67,37,59,61,83,85,CB,1
Andreas Christensen,68,32,66,70,84,74,CB,1
Emre Can,79,78,77,80,82,87,CB,1
Julian Brandt,67,78,82,85,48,65,CAM,0
Timo Werner,90,80,69,82,35,69,ST,6
Raphaël Guerreiro,74,77,86,87,75,55,CAM,0
André Onana,81,80,86,83,61,80,GK,3
Matthias Ginter,60,59,71,66,84,79,CB,1
Sébastien Haller,65,80,62,74,52,82,ST,6
Aritz Elustondo,64,39,65,62,82,78,CB,1
Tammy Abraham,83,81,66,78,36,80,ST,6
Ismaël Bennacer,77,68,80,86,77,76,CM,2
Alejandro Remiro Gargallo,83,76,79,84,42,85,GK,3
Dani Rojas,83,83,75,82,28,75,ST,6
Florian Wirtz,78,73,80,86,51,60,CAM,0
Darwin Núñez,89,82,68,77,42,86,ST,6
Nico Schlotterbeck,76,56,66,72,84,78,CB,1
Daniel Olmo Carvajal,67,76,81,86,50,59,CAM,0
Ferran Torres García,84,79,79,83,35,67,LW,4
Aaron Ramsdale,83,77,85,84,48,78,GK,3
Lucas Tolentino Coelho de Lima,72,78,79,85,69,78,CAM,0
Raúl Jiménez,73,81,76,80,47,82,ST,6
Josué Durval Chiamulera Vaz,78,43,56,64,85,79,CB,1
Lucas Luciano Mantela Patrício,79,87,85,81,35,77,GK,3
André Miguel Valente da Silva,74,83,70,82,47,78,ST,6
Jordan Pickford,84,77,87,87,51,80,GK,3
Sergi Darder Moll,82,74,82,83,74,77,CM,2
Willi Orban,57,36,53,56,84,81,CB,1
Zlatan Ibrahimović,58,85,76,77,34,72,ST,6
Iñigo Martínez Berridi,71,56,67,61,82,80,CB,1
Łukasz Fabiański,82,82,71,82,49,83,GK,3
Ivan Rakitić,53,80,86,78,75,68,CM,2
Dimitri Payet,70,78,84,83,40,65,CAM,0
Rui Pedro dos Santos Patrício,82,80,77,83,55,80,GK,3
Olivier Giroud,42,83,72,73,42,78,ST,6
Simon Kjær,62,54,64,60,84,78,CB,1
Toby Alderweireld,57,55,70,67,85,75,CB,1
Marko Arnautović,78,82,79,79,44,82,ST,6
César Azpilicueta Tanco,64,55,76,72,84,76,CB,1
Philippe Coutinho Correia,62,79,80,88,52,59,CAM,0
Christian Eriksen,61,78,88,80,53,52,CM,2
Raúl Albiol Tortajada,38,41,62,63,85,71,CB,1
Sebastián Coates,68,49,55,62,84,87,CB,1
Francisco Román Alarcón Suárez,65,75,80,88,59,58,CAM,0
Gabriel Armando de Abreu,67,49,71,65,84,83,CB,1
José Ignacio Fernández Iglesias,75,37,69,70,82,80,CB,1
Kevin Volland,70,85,79,80,46,84,ST,6
Steven Berghuis,80,82,83,82,40,69,CAM,0
Anthony Lopes,84,78,71,86,63,80,GK,3
Luis Muriel,89,83,74,86,27,67,ST,6
Wilfried Zaha,91,79,73,86,37,76,LW,4
Francesco Acerbi,62,50,64,64,85,78,CB,1
Evan Ndicka,80,51,71,73,81,79,CB,1
Tomáš Souček,57,72,73,72,82,85,CB,1
Antonín Barák,74,79,80,81,65,75,CAM,0
Martin Terrier,85,81,75,78,36,70,ST,6
Alphonse Areola,85,79,75,84,55,78,GK,3
Jesús Corona,82,65,80,86,73,67,RW,5
Alexandre Lacazette,70,81,76,83,44,74,ST,6
Nicolò Zaniolo,87,75,72,82,62,83,CAM,0
Norberto Murara Neto,82,78,77,80,54,78,GK,3
Ibrahima Konaté,78,34,57,67,82,80,CB,1
Matheus Santos Carneiro Da Cunha,84,82,75,84,32,74,CAM,0
Pedro António Pereira Gonçalves,76,80,80,84,56,64,CAM,0
Mehdi Taremi,77,80,74,81,38,72,ST,6
Edmond Tapsoba,70,54,65,70,83,79,CB,1
Dejan Kulusevski,78,77,79,83,56,76,CAM,0
Bruno Guimarães Moura,69,67,79,81,76,77,CM,2
Joško Gvardiol,82,54,69,74,80,83,CB,1
Jamal Musiala,76,73,75,87,63,60,CAM,0
Pablo Sarabia García,73,76,82,82,57,59,RW,5
Marc Bartra Aregall,71,61,73,73,81,74,CB,1
Felipe Augusto de Almeida Monteiro,59,43,59,61,81,83,CB,1
Harry Maguire,48,57,68,67,80,84,CB,1
Juan Heberto Mestres de Mesquita,71,61,57,63,82,80,CB,1
Marvin Oswaldo Rangel Azevedo,76,81,67,77,20,78,ST,6
Nailton Padrenda Mendes,82,73,77,82,52,70,CAM,0
Louri Adriano Bisesi Barbosa,78,84,62,72,33,71,ST,6
Gianluca Mancini,67,45,50,59,81,87,CB,1
Dayot Upamecano,82,43,61,68,80,81,CB,1
João Maria Palhinha Gonçalves,63,65,70,72,82,89,CB,1
Manuel Akanji,77,48,70,74,83,78,CB,1
Marcus Rashford,87,82,75,81,41,71,ST,6
Richarlison de Andrade,82,79,72,82,53,79,ST,6
Gabriel dos S. Magalhães,68,36,60,58,83,80,CB,1
Henrikh Mkhitaryan,82,79,78,83,56,72,CAM,0
Nicolás Otamendi,63,57,62,59,83,81,CB,1
Mario Götze,67,74,83,84,55,67,CAM,0
Chris Smalling,62,47,58,60,83,80,CB,1
Nick Pope,80,82,75,83,49,80,GK,3
Rafael Tolói,67,52,59,65,82,82,CB,1
Edinson Cavani,61,83,68,72,51,73,ST,6
Éver Banega,62,74,83,82,75,72,CM,2
Antonio Adán Garrido,79,82,78,80,55,83,GK,3
Gareth Bale,80,84,81,79,55,69,ST,6
Jan Vertonghen,69,62,72,67,83,78,CB,1
Carlos Vela,77,79,76,83,30,64,RW,5
João Filipe Moutinho,47,71,84,79,71,66,CM,2
Képler Laveran Lima Ferreira,77,51,60,61,81,87,CB,1
Giovani Lo Celso,71,75,83,84,68,72,CAM,0
Oscar dos Santos Emboaba,79,78,82,83,59,67,CAM,0
Joe Gomez,80,30,67,69,81,78,CB,1
José Pedro Malheiro de Sá,83,78,73,83,52,79,GK,3
Borja Iglesias Quintás,66,82,65,74,40,81,ST,6
James Ward-Prowse,59,74,86,78,67,73,CM,2
Lucas Ocampos,80,81,77,82,62,83,RW,5
Téji Savanier,64,76,84,83,69,68,CAM,0
Emil Forsberg,71,73,83,83,35,62,CAM,0
Gaëtan Laborde,74,81,76,79,40,79,ST,6
Jonas Hofmann,73,76,80,80,64,72,CAM,0
Kerem Demirbay,69,76,81,82,71,72,CM,2
Odisseas Vlachodimos,84,78,67,84,43,78,GK,3
Robin Le Normand,63,25,53,58,83,80,CB,1
Stanislav Lobotka,71,68,79,81,73,70,CM,2
Mateus Uribe,75,76,75,79,80,82,CM,2
Mario Pašalić,75,79,76,80,67,77,CAM,0
Naby Keïta,69,74,76,86,69,68,CAM,0
Corentin Tolisso,69,78,77,79,77,77,CM,2
Hirving Lozano,93,76,72,82,41,62,RW,5
Matteo Politano,83,77,78,84,42,55,RW,5
Allan Saint-Maximin,90,73,73,88,27,68,CAM,0
Seko Fofana,73,74,75,80,73,85,CM,2
Iñaki Williams Arthuer,94,78,72,78,38,83,ST,6
Juan Musso,82,78,73,86,44,82,GK,3
Benjamin Bourigeaud,76,77,83,81,66,76,RW,5
Youssef En-Nesyri,78,80,59,74,35,76,ST,6
Florian Neuhaus,68,73,79,80,66,67,CM,2
Harvey Barnes,86,77,75,81,45,64,CAM,0
Alexander Isak,83,79,68,83,29,68,ST,6
Luis Sinisterra,89,73,72,85,53,63,LW,4
Daichi Kamada,74,68,79,83,46,61,CAM,0
Alban Lafont,83,77,68,86,47,77,GK,3
Renato Júnior Luz Sanches,83,74,77,84,72,84,CAM,0
Arthur Henrique Ramos Oliveira Melo,71,65,80,86,72,69,CM,2
Tony Josimar Abranjes Meneses,67,39,55,58,81,85,CB,1
Laureano Thomas Santeiro Marre,80,72,77,82,26,45,CAM,0
Héniton Enaldo Pires Tramontino,81,75,78,79,41,81,GK,3
Leon Bailey,92,78,74,83,33,61,CAM,0
Djibril Sow,77,69,77,78,77,80,CM,2
Mario Hermoso Canseco,75,49,73,71,81,80,CB,1
Edson Álvarez,71,57,67,69,82,86,CB,1
Teun Koopmeiners,70,72,80,76,76,77,CM,2
Viktor Tsygankov,85,74,78,80,46,59,CAM,0
Marko Dmitrović,77,79,78,81,37,80,GK,3
Isaac McAdoo,63,62,55,56,81,83,CB,1
Sven Botman,58,37,60,62,80,84,CB,1
Jurriën Timber,82,47,67,77,81,81,CB,1
Amir Rrahmani,61,51,58,61,82,80,CB,1
Lovro Majer,69,73,81,83,60,67,CAM,0
William Saliba,78,39,67,71,80,79,CB,1
Dominik Livaković,80,76,71,84,56,77,GK,3
Emile Smith Rowe,78,71,76,81,32,61,CAM,0
Weston McKennie,82,74,76,80,78,83,CM,2
Nikola Milenković,64,45,62,62,81,83,CB,1
Nayef Aguerd,73,50,64,65,80,77,CB,1
Lucas Rodrigues M. Silva,89,77,70,85,46,68,RW,5
Jonathan Viera Ramos,80,75,79,81,63,72,CAM,0
Jasper Cillessen,80,79,78,76,54,80,GK,3
Hans Vanaken,44,79,81,76,59,74,CM,2
Stefan Ortega,76,74,86,85,52,80,GK,3
Álvaro Borja Morata Martín,80,78,72,78,31,77,ST,6
Eric Dier,54,64,70,65,80,84,CB,1
Gerard Deulofeu Lázaro,90,79,75,83,30,66,RW,5
Tomáš Vaclík,78,75,74,83,40,82,GK,3
Edgar Badia Guardiola,78,77,77,83,44,78,GK,3
Kurt Zouma,62,51,62,56,80,84,CB,1
Marcel Sabitzer,72,81,79,79,66,76,CM,2
Kevin Kampl,69,66,81,83,62,62,CM,2
Andy Delort,82,81,72,75,37,82,ST,6
Bernd Leno,82,78,74,82,55,79,GK,3
Yeray Álvarez López,65,49,63,64,82,77,CB,1
Guillermo Ochoa,82,73,70,84,50,81,GK,3
Héctor Herrera,66,75,76,76,76,82,CM,2
Andrea Consigli,80,81,71,81,42,78,GK,3
Raúl García Escudero,35,83,82,78,59,84,CM,2
José Miguel da Rocha Fonte,31,46,62,62,82,80,CB,1
Marek Hamšík,64,77,82,80,71,71,CM,2
Simon Mignolet,80,74,74,85,51,83,GK,3
José Luis Sanmartín Mato,63,81,69,73,31,76,ST,6
David Ospina,81,76,77,82,34,80,GK,3
Etienne Capoue,53,73,78,75,79,78,CM,2
Georginio Wijnaldum,69,71,77,80,77,78,CM,2
Max Kruse,51,81,81,82,40,64,CAM,0
Francis Coquelin,68,68,78,79,78,80,CM,2
Alessio Cragno,82,79,73,83,39,77,GK,3
Remo Freuler,68,71,75,78,75,74,CM,2
Maximilian Arnold,65,80,78,78,76,75,CM,2
Mahmoud Dahoud,70,69,77,85,67,70,CM,2
Jeremías Conan Ledesma,82,77,72,83,46,78,GK,3
Ante Rebić,86,80,74,81,48,80,ST,6
Kepa Arrizabalaga,79,78,85,82,34,77,GK,3
Dominic Calvert-Lewin,81,77,64,76,39,80,ST,6
Joaquín Correa,84,75,76,84,39,69,RW,5
Joan Jordán Moreno,59,75,81,76,68,75,CM,2
Steven Bergwijn,86,78,75,83,42,70,CAM,0
Emiliano Buendía,71,74,81,83,66,70,CAM,0
Uğurcan Çakır,80,77,72,82,54,81,GK,3
Gianluca Scamacca,73,80,66,74,36,74,ST,6
Martin Dúbravka,78,76,79,81,46,77,GK,3
Walter Benítez,80,79,72,83,48,80,GK,3
Sardar Azmoun,78,77,70,78,40,73,ST,6
Bryan Cristante,54,73,77,75,77,78,CM,2
Saúl Ñíguez Esclápez,69,76,77,79,78,76,CM,2
Marten de Roon,70,68,70,71,82,83,CB,1
Andrea Belotti,74,80,58,76,38,83,ST,6
Frederico de Paula Santos,76,67,79,81,75,71,CM,2
Adrien Rabiot,75,73,76,79,76,79,CM,2
Rui Tiago Dantas da Silva,81,76,75,83,31,82,GK,3
Alessio Romagnoli,66,40,55,67,83,77,CB,1
Carles Gil Pareja,71,70,81,80,39,64,CAM,0
Anthony Martial,83,79,72,84,35,66,ST,6
Moussa Dembélé,72,79,64,74,30,79,ST,6
Mark Flekken,80,76,81,82,31,79,GK,3
Amine Gouiri,78,81,76,80,45,69,CAM,0
Nemanja Maksimović,51,72,75,74,77,77,CM,2
Unai Núñez Gestoso,70,24,51,52,79,78,CB,1
Orkun Kökçü,72,71,81,79,65,76,CAM,0
Jonathan David,83,79,71,77,33,71,ST,6
Conor Gallagher,74,76,75,78,67,74,CM,2
Alexis Sánchez,72,77,78,83,43,67,CAM,0
Juan Foyth,72,46,69,72,80,77,CB,1
Min Jae Kim,80,33,57,62,79,84,CB,1
Dominik Szoboszlai,77,79,81,80,34,64,CAM,0
David Neres Campos,85,72,73,83,37,64,CAM,0
Angelo Ogbonna,49,40,60,62,82,68,CB,1
Jérôme Boateng,47,49,73,66,80,74,CB,1
Lars Stindl,55,79,79,79,60,74,CAM,0
Luís Manuel Arantes Maximiano,78,76,68,82,55,76,GK,3
Diego López Rodríguez,76,80,68,76,44,81,GK,3
Ryan Gravenberch,77,76,78,83,68,72,CAM,0
Anssumane Fati,88,77,72,82,30,53,CAM,0
Pedro Rodríguez Ledesma,73,74,76,86,36,51,CAM,0
Moe Bumbercatch,87,61,78,81,72,61,CM,2
Pablo Martín Páez Gavira,76,64,77,83,65,67,CAM,0
Yeremy Jesús Pino Santos,77,73,76,79,38,45,CAM,0
Gonçalo Bernardo Inácio,80,36,61,61,80,77,CB,1
Vítor Machado Ferreira,73,68,79,83,67,55,CAM,0
Matheus Luiz Nunes,82,71,73,82,74,76,CAM,0
Giacomo Raspadori,81,78,68,81,27,58,CAM,0
Norberto Gomes Betuncal,87,79,58,74,24,81,ST,6
Wesley Fofana,75,37,55,64,81,76,CB,1
Martín Zubimendi Ibáñez,59,64,74,74,79,70,CM,2
Roger Ibañez Da Silva,82,32,45,58,81,79,CB,1
Maxence Caqueret,73,58,73,81,75,68,CM,2
Boulaye Dia,83,78,62,76,27,76,ST,6
Manuel Lanzini,69,73,79,82,41,55,CAM,0
Vicente Guaita Panadero,80,77,78,81,51,77,GK,3
Alfredo Talavera,80,82,68,80,58,78,GK,3
Ludovic Blas,73,76,77,82,58,64,CAM,0
Matheus Reis de Lima,73,53,67,74,79,82,CB,1
Bernard Gabriel Prestão Chaves,81,75,71,82,60,77,GK,3
Melvin Luan Parrela Porfírio,71,70,70,72,80,83,CB,1
Emelvin William Anjos Rochedo,79,75,77,74,41,83,GK,3
Ezequiel Ávila,80,80,65,78,44,83,ST,6
Oleksandr Zinchenko,68,65,80,80,77,69,CM,2
Ezri Konsa,78,39,62,71,80,76,CB,1
Agustín Rossi,80,76,72,80,41,79,GK,3
Davinson Sánchez,75,47,55,66,79,79,CB,1
Benjamin Pavard,66,55,72,71,81,78,CB,1
Pablo Fornals Malla,67,74,79,79,69,71,CM,2
Nordi Mukiele,78,49,68,72,81,80,CB,1
Nicolas Pépé,88,77,74,82,36,62,LW,4
Alexandr Golovin,77,72,78,82,60,66,CAM,0
David García Zubiria,61,37,65,65,80,75,CB,1
Wout Weghorst,60,77,60,69,52,86,ST,6
Jonas Omlin,80,75,73,82,52,76,GK,3
Donny van de Beek,67,77,76,78,72,75,CAM,0
Donyell Malen,88,78,72,83,35,73,ST,6
Rafael Mir Vicente,78,81,67,71,45,78,ST,6
Justin Bijlow,82,75,78,80,58,76,GK,3
Steve Mandanda,77,79,74,81,49,77,GK,3
Jonny Evans,50,32,60,58,82,76,CB,1
Joaquín Sánchez Rodríguez,66,78,85,79,44,53,CAM,0
Daniel Wass,73,77,80,76,75,75,CM,2
Óscar Trejo,68,76,78,82,71,77,CAM,0
Javier Hernández,72,77,64,76,31,68,ST,6
Sergio Asenjo Andrés,80,77,78,78,57,77,GK,3
Anthony Modeste,69,78,63,70,35,79,ST,6
Fernando Muslera,76,80,72,77,51,82,GK,3
Gianluigi Buffon,76,73,70,76,31,90,GK,3
Cengiz Ünder,78,77,75,80,38,52,RW,5
Lucas Veríssimo da Silva,81,39,58,63,80,81,CB,1
Tanguy Ndombele,66,71,79,86,68,68,CAM,0
Houssem Aouar,71,70,78,83,64,68,CAM,0
Josip Brekalo,81,76,76,84,38,55,CAM,0
Diogo Meireles Costa,76,75,73,83,32,78,GK,3
Emanuel Reynoso,67,67,78,80,59,67,CAM,0
Marcos Nascimento Teixeira,67,36,60,70,78,86,CB,1
Dean Henderson,80,78,77,82,55,75,GK,3
Takehiro Tomiyasu,74,33,67,71,80,79,CB,1
Luka Jović,74,78,68,78,29,74,ST,6
Pau López Sabata,80,79,77,81,48,81,GK,3
Luuk de Jong,48,78,71,70,46,77,ST,6
James Tarkowski,55,45,65,62,81,80,CB,1
Jesús Joaquín Fernández Sáez,73,76,80,83,32,51,CAM,0
Julian Draxler,72,76,80,82,58,65,CAM,0
Conor Coady,47,57,75,66,79,73,CB,1
Felipe Anderson Pereira Gomes,85,75,77,83,55,63,RW,5
Agustín Marchesín,80,77,76,80,54,79,GK,3
Lewis Dunk,44,51,62,63,80,79,CB,1
Matz Sels,77,78,75,80,36,80,GK,3
Manuel Riemann,78,74,85,82,52,78,GK,3
Sérgio Miguel Relvas de Oliveira,58,78,82,76,71,70,CM,2
Mattia Zaccagni,82,73,74,83,57,64,LW,4
Mattia Perin,79,79,71,81,57,79,GK,3
Juan Miguel Jiménez López,76,80,72,81,31,59,RW,5
Nicolás Lodeiro,69,73,80,81,49,69,CAM,0
Callum Wilson,81,78,66,77,42,76,ST,6
Yaroslav Rakitskyi,68,67,76,71,79,82,CB,1
Danny Ings,72,82,70,78,45,70,ST,6
Marco Silvestri,81,77,60,83,59,80,GK,3
Michail Antonio,82,75,73,77,55,83,ST,6
Davy Klaassen,68,80,74,76,73,78,CAM,0
Arkadiusz Milik,61,82,69,74,39,69,ST,6
Ludovic Ajorque,73,79,61,70,43,84,ST,6
Dakonam Djené,67,38,62,62,79,77,CB,1
Lucas Zelarayán,71,76,78,82,46,66,CAM,0
Franco Armani,78,74,69,85,43,80,GK,3
Adama Traoré Diarra,96,65,68,86,38,83,RW,5
João Mário N. Costa Eduardo,70,69,81,82,65,66,CM,2
Paul Ebere Onuachu,70,78,62,70,45,82,ST,6
Nicolae Stanciu,74,75,81,82,62,68,CM,2
Chancel Mbemba,72,50,56,65,80,81,CB,1
John McGinn,69,74,76,77,73,81,CM,2
Rachid Ghezzal,72,72,82,81,28,60,RW,5
Adnan Januzaj,77,72,79,83,30,57,RW,5
Berat Djimsiti,71,39,59,50,82,81,CB,1
Matheus Lima Magalhães,82,75,77,82,45,77,GK,3
Michael Keane,52,49,63,62,80,79,CB,1
Manuel Trigueros Muñoz,50,73,78,75,72,66,CM,2
Ben Davies,67,58,72,72,80,74,CB,1
Samuel Umtiti,63,62,68,67,79,75,CB,1
Denis Suárez Fernández,72,72,81,81,64,55,CAM,0
Erik Lamela,68,77,79,83,53,69,RW,5
Luiz Felipe Ramos Marchi,72,29,61,68,80,73,CB,1
Jadson Bardeira Cunha,73,82,62,70,31,75,ST,6
Altay Bayındır,78,75,72,82,30,76,GK,3
Javier Puado Díaz,84,75,70,78,51,76,ST,6
Sofiane Diop,71,72,75,83,54,54,CAM,0
Jean-Clair Todibo,75,44,63,65,79,76,CB,1
Julián Álvarez,76,80,76,83,55,75,CAM,0
Enzo Fernández,74,71,76,78,72,80,CM,2
Charles De Ketelaere,75,76,76,81,57,73,CAM,0
Joey Veerman,67,70,81,78,65,74,CM,2
Pierre Kalulu,80,50,68,69,79,75,CB,1
Piero Hincapié,83,39,64,71,78,74,CB,1
